-1,-1,-1.000000,-1.000000
1,506,334.753862,398.700672
2,518,201.905051,273.848280
3,441,331.786563,23.231476
4,634,225.633903,120.316419
5,82,369.954662,257.989322
6,373,273.933345,354.842227
7,551,111.256839,285.827993
8,84,147.000244,391.947094
9,886,107.184314,20.554528
10,776,50.338475,78.341281
11,376,115.016598,364.763611
12,250,173.185241,167.148060
13,273,92.081474,99.088119
-1,-1,-1.000000,-1.000000
15,204,366.888393,247.005313
16,711,200.924475,121.399996
-1,-1,-1.000000,-1.000000
18,342,324.840248,330.932605
19,714,310.809295,39.277504
20,345,197.936421,89.255088
21,510,325.717584,156.088938
22,1342,54.633976,329.380248
23,329,57.115646,373.762200
24,407,130.058572,59.208186
25,254,227.989894,377.851812
-1,-1,-1.000000,-1.000000
27,512,48.320578,306.006449
28,444,245.732982,183.978736
29,235,339.879417,95.062049
30,276,55.153022,244.999975
31,83,199.981143,172.008671
32,715,309.651265,225.965013
33,1435,140.064481,282.637070
34,148,22.091386,365.921968
35,678,181.128063,146.369353
36,458,234.952393,330.816055
37,917,314.745028,378.628888
38,1827,180.297587,176.710682
39,796,24.469399,117.152548
40,842,210.481273,172.025971
41,166,87.015381,323.943429
42,144,120.057759,187.006541
43,380,386.778326,278.944931
44,498,275.839016,300.896856
45,444,176.050713,82.303099
46,127,55.069630,269.994975
47,906,65.451961,185.070711
48,85,381.953408,364.975686
49,153,83.008210,340.908997
-1,-1,-1.000000,-1.000000
1,506,334.507512,398.400826
2,518,201.805264,273.702217
3,441,331.572978,23.463342
4,634,225.262747,120.635049
5,82,369.909217,257.978753
6,373,273.866290,354.684035
7,551,111.493710,285.696004
8,84,147.000948,391.893846
9,886,107.369961,21.111122
10,776,50.678713,78.682977
11,376,115.038142,364.525726
12,250,173.406248,167.325647
13,273,92.163567,99.176269
-1,-1,-1.000000,-1.000000
15,204,366.776740,247.010742
16,711,200.845873,121.805684
-1,-1,-1.000000,-1.000000
18,342,324.679816,330.865360
19,714,310.617832,39.555431
20,345,197.871901,89.511521
21,510,325.434743,156.177837
22,1342,55.268431,328.764595
23,329,57.230795,373.530703
24,407,130.117371,59.417029
25,254,227.979509,377.702735
-1,-1,-1.000000,-1.000000
27,512,48.645679,306.035485
28,444,245.467128,183.955995
29,235,339.758575,95.124094
30,276,55.304469,244.999527
31,83,199.962852,172.011446
32,715,309.302228,225.930319
33,1435,140.058002,282.251407
34,148,22.181088,365.843628
35,678,181.250865,146.761435
36,458,234.902938,330.631259
37,917,314.488289,378.256487
38,1827,180.548388,176.268712
39,796,24.940376,117.304174
40,842,209.955998,172.027005
41,166,87.028796,323.882186
42,144,120.115782,187.011405
43,380,386.556288,278.889824
44,498,275.676847,300.794120
45,444,176.101523,82.608372
46,127,55.138713,269.990552
47,906,65.903330,185.137176
48,85,381.906755,364.951285
49,153,83.020591,340.813585
-1,-1,-1.000000,-1.000000
1,506,334.261188,398.100623
2,518,201.705221,273.555570
3,441,331.359283,23.695602
4,634,224.888467,120.956289
5,82,369.863678,257.968260
6,373,273.799443,354.525666
7,551,111.731294,285.561966
8,84,147.001704,391.840515
9,886,107.556421,21.669573
10,776,51.020108,79.025578
11,376,115.059685,364.287159
12,250,173.641746,167.505582
13,273,92.245739,99.264616
-1,-1,-1.000000,-1.000000
15,204,366.665049,247.016202
16,711,200.767577,122.215259
-1,-1,-1.000000,-1.000000
18,342,324.519014,330.798194
19,714,310.425780,39.833786
20,345,197.806872,89.768665
21,510,325.151314,156.266827
22,1342,55.900620,328.144801
23,329,57.346957,373.299452
24,407,130.175957,59.626214
25,254,227.969160,377.553422
